departureAirport,origCountry,arrivalAirport,destCountry,aircraftName,Frequency,departure_latitude,departure_longitude,arrival_latitude,arrival_longitude
DMK,Thailand,ICN,South Korea,Airbus A330-Unspecified,191,13.9126,100.607,37.4633,126.44
PVG,China,DEL,India,Boeing B787-8,190,31.1434,121.805,28.5665,77.1031
DEL,India,PVG,China,Boeing B787-8,190,28.5665,77.1031,31.1434,121.805
ICN,South Korea,DOH,Qatar,Boeing B777-200LRF,189,37.4633,126.44,25.2731,51.6081
TPE,Taiwan,AUH,United Arab Emirates,Boeing B747-400F,189,25.0777,121.233,24.433,54.6511
ICN,South Korea,KIX,Japan,Boeing B747-400F,188,37.4633,126.44,34.4305,135.23
AUH,United Arab Emirates,FCO,Italy,Airbus A330-200,188,24.433,54.6511,41.8003,12.2389
ICN,South Korea,DXB,United Arab Emirates,Airbus A330-200,187,37.4633,126.44,25.2528,55.3644
DXB,United Arab Emirates,WAW,Poland,Airbus A330-200,187,25.2528,55.3644,52.1657,20.9671
DOH,Qatar,HND,Japan,Boeing B787-8,187,25.2731,51.6081,35.5533,139.781
DXB,United Arab Emirates,ICN,South Korea,Airbus A330-200,187,25.2528,55.3644,37.4633,126.44
HND,Japan,DOH,Qatar,Boeing B787-8,186,35.5533,139.781,25.2731,51.6081
DEL,India,NRT,Japan,Boeing B787-8,186,28.5665,77.1031,35.7653,140.386
TPE,Taiwan,HGH,China,Airbus A330-200,186,25.0777,121.233,30.2295,120.434
